pagina,opinion,estrellas
2,"Tenía curiosidad por leer el éxito literario del momento, todo el mundo lo está leyendo... Tengo que admitir que engancha, se lee muy fácilmente, pero la historia no tiene interés, ni los personajes profundidad, por no hablar del decepcionante estilo literario.Se lo recomendaría a quien quiera leer muchísimas escenas eróticas, demasiadas diría yo, y a quien quiera poder opinar sobre lo que lee todo el mundo.",2
2,"Se lo regalé a mi mujer el día de los enamorados , y en tres días lo terminó de leer entero , eso sí , estaba todo el día leyendo , y os juro que mo es persona de leer , pero según ella , la cautivó y no podía dejar de leerlo .",5
2,"Últimamente y para la época estival se nos presentan productos tipo ""ladrillo"" que para quedar más "" enganchados"" nos los presentan por trilogías. Deberían hacer un descuento y así tal vez vendian todas las partes. Tras leer esta que es un folletín rosa de lujo y personajes VIPs pensé en no alargar lectura en segunda y tercera parte , pues con esta primera ya se ha dado todo lo que se podía. En todo caso.... , el tiempo dirá.",2
2,Es justo lo que esperaba recibir. Estoy muy contento con el pedido que he hecho. Todo ha ido muy bien.,5
2,Es un libro muy entretenido y de fácil lectura. Nunca leerás tan rápido algo como en sombras. Está muy bien escrito,5
2,"Pues como quien sigue una saga,esta es la segunda en ser regalada y por supuesto que estará enganchada que estaba deseando que saliera",5
2,Me gustaría hacer la devolución del pedido cincuenta sombras de Grey ..por que lo quisiera en material y lo e  comprado de otra forma por error .gracias y disculpen las molestias,1
2,"Me encanta esta trilogía. Aunque la venden como ""porno para mamás"" y si es cierto que la calidad literaria deja mucho que desear al principio, en las siguientes entregas mejoras y pasa de ser ""sólo sexo"" para convertirse en un thriller romántico.",5
2,"La verdad es que es un libro facil de leer porque es de una simpleza absoluta, parece una pelicula mala de las que ponen después de la sobremesa.",1
2,"Es tan... normalito...!!!Esta saga va de algo diferente, liberador, original, surrealista... y no lo es para nada.Me leí los tres libros porque una amiga no callaba... y al final le dí esta misma opinión.Y lo más mediocre...; historieta de amor rosita al final... vivieron felices como perdices....",2
3,"Una novela tan sobrevalorada como vendida, sinceramente una trama más que previsible donde el principe azul tiene algún que otro vicio que le encanta a la protagonista y a muchas de las lectoras del libro.",3
3,"El libro esta muy bien , la verdad que no es para tanto como contaban . Tardo en llegar bastante .Estoy deseando leer la segunda parte",5
3,"Creí que iba a ser más profundo, me esperaba otra cosa, demasiada publicidad. Es entretenido, pero quitando las experiencias sexuales que queda ¿nada?. Un libro para pasar el rato pero sin esperar demasiado a cambio. No me voy a comprar los siguientes, serán más de lo mismo. Se lo recomiendo a quien solo quiera pasar el tiempo, si buscas algo que te haga reflexionar o una lectura en profundidad, este no es tu libro.",3
3,"La historia me parece aburrida, y la escritura me parece muy pobre. Tengo con este libro la misma sensación que tuve cuando leí El Código Da Vinci; no comprendo el éxito de ninguno de los dos.",2
3,Me lo habéis cobrado y no lo he podido leer. nefasto nefasto . cuidado con estas compras. no son muy correctas.,1
3,Los protagonistas y personajes secundarios atractivos. La trama crea espectación. Cautivador. Apetece no parar de leer: cómo continuará? Qué decidirá?,4
3,"El envío es perfecto, pero claro, si llego a saber que los libros no me iban a gustar, quizás hubiese escogido otro tipo de novela... el resto perfecto, entrega, rapidez, sin queja alguna!",3
3,"Una combinación perfecta de psicología, pasión y erotismo. Recomendable leer la trilogía completa. Una lectura fascinante que engancha desde el principio.",5
3,"En cuanto a Amazon como siempre buen precio, entrega rapida, estado iecableEn cuanto al libro muy muy muy bueno, de lo mejor que he leido",5
3,"La verdad que el libro lo he ""devorado"", probablemente por la necesidad de un ""oasis"" en estos tiempos difíciles.-Los personajes están un poco alejados de la realidad, pero la trama del libro engancha.-",4
4,"Es la primera novela erótica que leo, y bastante interesante, engancha por la historia que se traen los personajes, pero me lo esperaba más erótico, la verdad, aunque no falta, pero descrpciones mas... mas profundas o detalladas, podría decir.",4
4,"Literatura muy simplona, pero creo que eso no es lo que busca la gente en este libro, no? probablemente no lea los otros 2 de la trilogia. En cuanto al envio, perfecto como en anteriores ocasiones.",3
4,El libro es la castaña pilonga que es. Aunque sea un best seller. Lo que tiene q hacer la gente es ser más curiosa en la vida real y menos reprimida.,4
4,"Siendo una literatura de llevar a diario por lo visto gusta.Hay gente que termina creyéndoselo.Superman no existe, tal vez lamentablemente.",4
4,Decepción estoy en el 50% leído y continuo pensando lo mismo no leeré el siguiente no me ha enganchado para nada.,2
4,Mi valoración viene dada por lo fácil que ha sido la lectura.engancha la historia aunque es poco verosímil.Le recomiendo a personas que quieran leer un libro con unas prácticas de seco diferente,4
4,Esperando a que me envíen estos libros o que me informen de porque todavía no me los han enviado gracias,1
4,"todo perfecto pero es una novela rosa con sexo.....no me ha gustado. todo lo demas la descarga, muy bien. es lo que hay----",3
4,El libro es bastante entretenido. Hay sexo pero tampoco tanto como lo venden.La calidad literaria deja mucho que desear. Expresiones muy repetitivas.Lectura ligera para entretener.,3
4,"No ha cubierto mis expectativas.Es leíble aunque sin el nivel que acompaña su fama. No lo aconsejo,aunque tenía la curiosidad de leerlo",2
5,por que el libro nuca a llegada. es una estafa esperando des reyes es una vergüenza pero si lo an  cobrado,1
5,"Quién le iba a decir a esta que un fandom iba a dar para tanto. Insufrible, predecible y te deja igual que antes de empezarlo",2
5,"Se le ha dado mucha fama pero si no fuera por su contenido, más que explicito en alguna ocasión, diría que está escrito por un niño de primaria.",2
5,"Un libro diferente que hace pasar un rato agradable, no es una lectura complicada ni profunda es un libro para leer a ratos incluso en la piscina, y que personalmente me encanto igual que el resto de la trilogía aunque sin duda el primero es el mejor.",5
5,"Se lee pero cansa un poco ,siempre lo mismoLas relaciones de pareja deben interesar a los dos pero parece que esta trilogía solo está para mujeres ¿En el 2012",3
5,Compré esta versión para leer en mi Kindle y me ha gustado. Es muy cómodo descargar libros de esta manera.,4
5,"No lo he podido leer aún, cuando lo haga pondré mi opinión sobre el libro y espero q sea tan buena o mejor q la película",5
5,¿Qué puedo decir del libro que no se haya dicho ya? A mí hija le encantó y a ratos la sorprendió. Llego justo en el tiempo previsto.,5
5,"Joven inexplicablemente inexperta se enamora locamente de joven guapo, rico, inteligente, educado, perfecto, con familia perfecta.Y el lobo se come a la abuelita. Mala traducción. Espantosa redacción.",2
5,"Excelente por sus descripcionesEngancha por su pasionExcita por el contenidoFacil de leer, una vez empiezas no puedes parar de leerlo",5
6,"Libró básicamente de temática sexual, centrado en lo complicadas que son las mujeres en su interior y justificandose con los problemas de un tío sexualmente ""diferente"". No se cómo va a llevarse esto a la pantalla sin que sea una película clasificada.",3
6,La trama es inconsistente y el estilo francamente mejorable. No mantiene correctamente los ritmos y se pasa muy de puntillas sobre lo que debería ser el co-tema estrella.,2
6,"No se si será la traducción del ingles a español, pero esta mal escrito. Muy líneal, no hay trama, predecible, lleno de clichés.Por otro lado, las escenas de sexo están descritas al detalle y son bastante hot.Incomprensible la popularidad de esta novela.",2
6,"El libro está bien, y me ha  enganchado hasta al final aunque la protagonista es muy repetitiva y al final se acaba haciendo pesada.",3
6,Un libro recomendable me ha gustado bastante.La trama está bien aunque a veces llega a ser un poco repetitivo pero la verdad es un libro que engancha.,4
6,"Buen acabado y llego antes de lo esperado así que muy contento con la compra, ahora ya solo queda leerlo...",5
6,"El formato del libro, excelente. Ningun problema en leer, ningun caracter extraño, o paginas donde no se pueda leer.El contenido del libro es mas bien basico, es mas bien para adolecentes.",3
6,Un libro muy entretenido que no puedes parar de leer para saber como va a terminar la historia de esta chica,4
6,"Jubilado. Hanthon. Es excesivamente repetitivo en el principal tema del mismo. Duro, dudo se que pueda ser real. Tengo un concepto muy superior de la mujer al que se describe en este libro.",2
6,"No muy bien escrito, descriptivo de las formas sexuales,basicamente, con poco nudo para resolver....pocos protagonistas y que ya sabes sabes como va a terminar.... Creo que lo que nos atrae es lo que se describe.",3
7,"El libro como tal es bueno. Su nivel de ventas lo demuestra. Lástima que envien un ejemplar que esta para retirar de la venta, pues la tapa lleva un roce considerable. Hay que cuidar más esos detalles.",2
7,"Literatura barata de alto contenido sexual.Mantiene un interés que hace devorar el libro rápidamente, pero no deja ninguna emoción al terminarlo.No lo recomiendo.",3
7,Es un horror .Lo compre por la fama que tiene y despues de leerlo me parecio horribleperdida de tiempo y dinero,2
7,Demasiado...irreal. Será una fantasía de muchos hombres pero dudo que una mujer pueda soportar tanto y seguir queriendo a alguien así por muy bien que esté el tío,2
7,Este libro resulta fácil de leer y tiene momentos en los que te engancha pero no deja de ser una novela rosa del siglo XXI con algún toque picante,3
7,"me confundi y lo comprepero muy bien el libro, la primera parte merece la pena,el segundo bueno y el tercero mas de lo mismo",4
7,Contento con el libro porque era para regalo y temía que no le gustara. Ahora pienso que debería haber comrado la trilogía. Y el envío rapidísimo.,5
7,"Me ha parecido un libro facil de leer y bastante entretenido. Es una novela romántica sin mas, en la que lector se puede sentir mas o menos identificado, en cualquier caso del sexo femenino.",4
7,"es un libro entretenido , yo me lo lei en un par de días la verdad que engancha pero no deja de ser una novela rosa tipo ""Corín tellado"" pero con un sexo más explícito .",3
7,Está entretenido aunque aún no lo he finalizado. Me esperaba otra cosa después de oir tanto hablar del libro. Novela un tanto peculiar.,4
8,"Parece escrito por una niña quinceañera que no aporta nada interesante a su lectura. Aún no lo he terminado de leer, porque no me gusta.",2
8,He estado inmpaciente por leer y saber mas en cada capítulo. Todos los días esperando el momento a leer intrigada en que passaria.Muy bueno.,5
8,"Pues eso, me decepcionó! Descripciones de sexo explícito y poco más...Ni se me ocurriría leer la continuación del libro.",2
8,Entretenido para leer en la playa y a buen precio. Pero por lo demas esta muy mal escrito y no aclara nada las historias.,5
8,Muy bueno. Sobre todo si lo lee una mujer.Libro tipico de la literatura femenina pero que tambien pueden leer los hombres.,5
8,"Entretenido y fácil para lectura del verano, igual que los dos siguientes. Imagino que hay parecidos aunque éste ha tenido mucho éxito.",3
8,"Se hace amena la historia, pero por lo que me han dicho el segundo y tercero están mejor. Ya veremos qué tal",3
8,"Todo deseo, pasión y mucho amor. Maravilloso. Estoy deseando leer el siguiente. Lo que no sé como lo van a hacer en pelicula..",4
8,La traducción es bastante mala. No deberían ser tan literarios a la hora de traducir una novela. El contenido decepcionante.,3
8,"no me ha gustado su contenido, le han dado mas importancia de lo que se merece, muy repetitivo y aburrido",2
9,"Me parece que es un libro interesante para leer en el tiempo libre, ideal si lo que buscas es leer algo sencillo.",3
9,"Me gusto el libro, pero no puedo decir que me haya encantado, de hecho no he continuado con la trilogía",3
9,"El libro engancha una vez que empiezas a leer, no puedes parar y necesitas más y más, me gusta mucho.",5
9,"No tengo palabras para expresar lo que sentí con estos libros, con los tres por igual. Me ley los tres libros en poco mas de una semana. Me engancharon de una manera impensable. Reí, llore, me excite y disfrute con cada página.Reconozco que el valor literario del libro es bastante escaso, no es una obra maestra de la literatura, mas bien es muy sencilla. Pero tal vez por eso, se lee tan fácil y engancha tanto. Sinceramente lo recomiendo a todo el mundo ( y mi novio también) Me encanto.",5
9,"Escuche hablar de él, y pensé que sería un buen regalo para mi pareja. ¿Bueno? buenísimo, ella está encantada, con el libro, es más se ha comprado ya los otros dos, aunque dice que el mejor sin duda es este. Y también ha funcionado como instrumento motivador para pareja, una maravilla.",5
9,"Lo compré con todas las ganas del mundo pero me ha desencantado por completo. Se me ha hecho interminable, desde luego que ni en sueños compraré la segunda y tercera parte!!! Es muy repetitivo, la prota siempre se pone roja de la vergüenza!!! muy cansina y sobre todo parece que no cambias de página pues constantemente se repiten hechos y situaciones!!",1
9,Fue un regalo para mi mujer. Le gustó tanto que a los dos días ya estaba encargando el resto de libros de la trilogía. Le gustó tanto que se empeñó en que debía leerlo también yo... y tenía razón.,5
9,"la historia empieza bastante normalita y va subiendo de tono para luego casi al final de la historia se vuelve interesante por como se desarrolla la relacion de la pareja y el final del libro te deja con una intriga que no puedes parar de seguir, yo en cuanto lo terminè me descargue el segundo libro de grey enseguida, para seguir leyendo",4
9,"Esta claro que la autora no va a ganar ningún premio. La trilogía es de lectura rápida y fácil, pero lo importante es sacar una moraleja. Todos podemos aprender a conocer mejor nuestro cuerpo, experimentar con el, buscar diferentes formas de placer y huir de la monotonía!!! Te lees los libros y miras al que tienes al lado, a tu alfa, y vale que no es un señor Grey, pero sabes porque lo elegiste y buscas esos detalles!!!",4
9,Lo acabo de empezar y ya estoy enganchada. Me divierte mucho la forma de ser de la protagonista y cómo nos describe sus pensamientos. Realmente está cargado de erotismo y eso que todavía no he leído mucho. Espero que se merezca los comentarios que hace todo el mundo.,5
10,"Me habían hablado fatal del libro, pero hay que verlo para creerlo. Es como ""Crepúsculo"" pero cambiando los vampiros por sadomasos acomplejados y de lo más blandito. El rollo que se trae la protagonista con la diosa que lleva dentro y mordiéndose los labios cada dos frases es lamentable. La pena es que no se muerda la lengua bien fuerte y se calle para siempre. Por Dios qué rollo. Hay novelas rosas más interesantes y mejor escritas, no digo más.",1
10,"Este libro tiene todos los ingredientes que las mujeres necesitan (y algunos hombres atrevidos también) para engancharse a él: amor, SEXO, romanticismo e intriga.Quién se pude resistir?????Lo único que criticaría es, que a veces, la autora se entretiene demasiado tiempo en el mínimo gesto.Por lo demás, genial.Lo recomiendo",4
10,"no me gusto nada. no se la recomiendo a nadie. La escritora ni se molesto en estudiar las caracteristicasdel personaje. Solo marketing.............que pena que tantas mujeres lean esto, denota como están lasrelaciones personales en nuestra sociedad....PENOSO!!!!!!!!!!!",1
10,"Leelo y luego si quieres lo comentamos..jejejjejy por su puesto , la trilogia entera, lo demas lo dejo a tu imaginacion y si no lo pones en practica por lo menos te dara que pensar..siempre para bien",5
10,Lo compré antes de que estuviera de moda  y lo conociera todo el mundo y realmente me encanto. Ya no pude esperar a comprarme los otros por aqui,5
10,"No elegí este libro: me lo regalaron junto con los otros y ciertamente no vale ni el tiempo que empleé en leerlo. Un perfecto manual para enseñar a las jóvenes a se sumisas bajo la promesa del príncipe azul y el ""aguanta nena que él lo vale""",1
10,"Ideal para los que gusten de literatura erotica,es el primero de una trilogia y parece ser(yo no lo he leido)que es un constante de la erotica",5
10,"Un Buen libro, entretenido, la calidad del libro es buena, tapa resistente y buen papel con buen tamaño de letra.",4
10,"Lo elegí porque el tema de sexo es muchísimo más real cuando lo cuenta una mujer, sobre todo en lo que se refiere a sentimientos y experiencias. Me identifico con su forma de pensar.El libro te engancha y no lo puedes dejar. Me sorprendió y me cautivó.Te quedas con la incertidumbre. No resuelve mis dudas sobre el protagonista ni te aclara el por qué de su forma de ser, lo que te obliga a comprar el segundo para ver qué ocurre.Se lo aconsejaría a mujeres que tengan miedo a experimentar cosas nuevas en sus relaciones.",4
10,"LO RECOMIENDO, ES GENIAL, CUANDO ACABE DE LEERLO, COMPRARE LOS SIGUIENTES LIBROS, AL FINAL ME TOCARA COMPRAR LA SAGA ENTERA, BUEN VENDEDOR, RAPIDO Y EFICAZ.",5
11,Novela romántica de toda la vida (me recuerda a las de Danielle Steele que leí en la adolescencia) pero con algo de sexo. Tampoco es para tanto.,1
11,"No me ha gustado nada, previsible, reiterativa, aburrida, es un folletin. No la recomiendo.Son libros muy caros. De verdad no entiendo como tiene tanto exito.No voy a comprar las otras 2.",1
11,"Entretenido, algo cansino. Mucho sexo explícito, que vende mucho. Guión flojo. Historia de un enamoramiento pasional. Se final, para que compres los siguientes libros. Sin más.",3
11,"Bueno, qué decir de este libro que no se haya dicho ya antes... Posiblemente sea el regalo más seguro que puedes hacerle a tu pareja.",5
11,"De la trilogía el mejor, los otros son unos tostones, mucha publicidad y después la verdad no es para tanto.",5
11,"Este libro es como la comida basura, sabes que literariamente no es un buen libro,pero cuánto más lo lees, más te gusta.Al menos se sale de lo corriente.Me ha gustado mucho",5
11,"Puedo entender perfectamente el éxito de este libro, aunque no creo que sea propiamente LITERATURA. Esta es mi opinión tras la lectura:[...]",1
11,"Hacía mucho tiempo que no me encontraba con un libro que me absorviese tanto...Horas de  mucho placer y emoción.Este libro me ha enganchado particularmente por la ligereza de su prosa,muy refrescante tras un día de trabajo.La cercanía de la protagonista y el carisma de él crean una atmósfera de constante y excitante tensión.En mi opinión,altamente recomendable :)",5
11,"Este libro creo es el mas aburrido que he leido en mi vida. No tiene absolutamente nada interesante, me deje llevar por la publicidad al comprarlo, entre mas lo leía mas decepcionada estaba, lo terminé por que me dije algo bueno ha de tener, pero ho decepcion es Malo de principio a fin",1
11,"Lo compre para mi mujer, y ella lo odia y yo intente leer un poco por curiosidad y es un libro muy sobrevalorado.",1
12,De vez en cuando empieza a ser interesante pero la mayoría de las veces acaba siendo demasiado descriptivo en relacióna la relaciones sexuales no dejando nada a la imaginación.,2
12,"Con el primero me enganche, este sin embargo me ha decepcionado un poco. En realidad es mas de lo mismo, a la trilogia, le sobran dos libros...pues no pasa mucho mas que en el primero.",1
12,"Realmente??? Porfavor!!! Si este es un buen libro, no se a donde es nuestro gusto... lo siento pero me parece muy pobre, este libro.",1
12,"No es un libro de esperar mucha literatura. Es para pasar el rato pensando en banalidades. No más. La escritora es muy repetitiva en los diálogos de los personajes. Sinceramente, esperaba algo más interesante.",1
12,"Es muy atrayente y duro desde el principio, te impacta, no puedes abandonar la lectura. Me lei el libro en dos dias.",5
12,Nada que no se sepa. Nada que no se sepa. Nada que no se sepa. Nada que no se sepa. Nada que no se sepa. Creo q,5
12,"Es un libro que engancha, ideal para el verano. Ya tengo ganas de leer toda la trilogia. Es bastante entretenido.",5
12,mi mujer ha estado muy contenta con este libro y realmente lo ha puesto en práctica conforme al contenido del mismo...,5
12,"curiosa forma de enfocar el sado, Porno light con algo de romanticismo Una historia muy poco creible pero entretenida sin más",5
12,"No me ha gustado.  Demasiado centrado en el personaje de Anastasia, quizás desarrolle el de Grey en las otras dos novelas de la trilogía, pero paso de leerlas.",1
13,Era un regalo para una chica muy especial y la verdad es que después de leerlo me confesó que le encantó.....y que ahora va a por la trilogía,5
13,"Lo leí por curiosidad, por el éxito del libro. Pero no es nada creíble, una universitaria boba, como si viviera en otro mundo, él un mega millonario jovencísimo, guapísimo y con gustos sospechosos, dominador y controlador... La lectura es entretenida, en algunos casos incluso divertida, fácil de leer, pero creo, que si no llega a tener las escenas de sexo tan explícitas, no habría tenido ninguna repercusión. Para pasar el rato no está mal.",3
13,"Me lo recomendó una amiga, y, aunque escandalizada con algunas partes, no podía dejar de leer. Me sorprendió y me divirtió. Y me encantó que en poco tiempo lo habían leído todos mis amigos (chicos y chicas). No deja indiferente.",5
13,"La verdad que como primer libro de la trilogía es bastante bueno, seguro que sigo con el resto de ellos.",5
13,Hacía tiempo que no leía un libro tan mal escrito como este. En la primera hoja ya se veía que la redacción es deplorable y sobre todo absolutamente reiterativo en sus expresiones.,2
13,es una maravilla te lo aconsejo a mi me enamoroo y no puedo dejar d leer yo te lo consejo d veras,5
13,Todo ha sido perfecto. El envío ha sido rápido y sin problemas. Es un buen vendedor. Muy recomendable a todo el mundo. Gracias.,5
13,es interesante y gracias a la imaginacion bastante erotica creo que me comprare los otros dos para seguir la historia.,5
13,Me encanta la trilogia de Cincuenta Sombras.La calidad del formato digital es muy buena.Recomiendo este producto es excelente.,5
13,"Lo siento pero aburrido no, lo siguiente. Como leer el diario de una niña de quince años (con su vocabulario incluido).",1
14,"Lo peor que ha caído en mis manos. No puedo entender el éxito comercial. Realmente un bodrio, se puede hacer este tipo de literatura pero con inteligencia.",1
14,"No me explico como un libro tan mediocre sea llevado al cine. Me baje los tres tomos, solo fui capaz de leer el primero,y los siguientes los borré de mi kindle.",1
14,Cualquier libro de la Sonrisa Vertical es mejor. Ademas de ser algo nada creible y disparatado con personajes vacuos sin nada que aportar.,1
14,"Simplemente me encanto y me hizo que buscara los dos siguientes libros, gracias a Amazon los encontre en calidad precio.",5
14,"Por fin tengo la trilogía completa, y tengo muchas ganas de volver a leerla porque de verdad que es la trilogía que abrió un antes y un después a novelas de este género.",5
14,"libro que te atrapa desde el primer momento, como toda la trilogía, rápido de leer, intrigante y sobre todo muy entretenido",5
14,"Como muchas personas yo también caí en la tentación de comprar el libro del que todo el mundo habla. Sentía curiosidad por un tipo de ""literatura"" (si se le puede llamar así) diferente.Pues bien, el resultado es que este libro es insufrible. Quizás se puedan salvar las 80-100 primeras páginas por la curiosidad del qué pasará, pero a partir de ahí me dieron ganas de cerrar el libro y abandonarlo al fondo de la estantería. Aún así lo terminé, pero es muy malo, está mal escrito, se repiten las mismas situaciones una y otra vez, los mismos gestos, las mismas palabras... Además el argumento no tiene ningún interés, los personajes son demasiado simples y la historia (tanto la amorosa como la sexual) se hace pesada.Mi recomendación es que no gastéis dinero en esta basura.",1
14,Me podéis indicar dónde está ? Le di a comprar para mi novia y no me salió nada ? Pero cobrarmelo sí que se lo han cobrado .... Dos libros que he comprado para nada....,1
14,"Es cierto que no es un libro de gran contenido, pero la verdad, cuando busco un libro lo que busco es que me entretenga, y este lo logra 100%Me leí la trilogía en menos de 10 días, sólo puedo decir que me encantó y quedé con ganas de seguir leyendo.Absolutamente recomendable si lo que buscan es un libro liviano y entretenido",5
14,"Novela muy entretenida, sorprendente, trama original, fácil de leer, apasionada, personajes curiosos, situaciones reales, demasiado perfecto el protagonista, se nota que la ha escrito una mujer,muy recomendada para los hombres, a ver si aprenden algo .",5
15,"Parece mentira que haya conseguido tanto éxito, no pienso continuar con la trilogía, con uno he tenido suficiente. Me ha parecido pretencioso, pesado. No lo recomiendo en absoluto.",1
15,"Este fue el primer libro erótico que leí, y debo decir que no hay nada como el recuerdo de la primera vez. Los leí en digital nada más estrenar el kindle que me regalaron, pero cuando he podido los he adquirido en papel. Una historia intensa, emocional, romántica y sexual. Dudo que alguien no haya leído esta trilogía, pero si es así... ¡Aviso! Cuando empieces, ya no podrás parar y te convertirás en una lectora de erótica ferviente.",5
15,"Si que es un libro basico con poco contenido, pero la verdad lo que si valoro de un libro es que no puedas parar de leer. Y asi lo logra las 50 sobras de Grey, engancha independientemente de su contenido erotico.",4
15,"cuando la empieces a leer , veras por que todo el mundo habla de esta novela , no puedes dejar de leerla",5
15,EL LLIBREM ' A G R A D A  M O L T I S I MESTA MOLT BE,5
15,"Me recomendaron este libro mucho, y leídas las primeras 150 páginas pierde ( si es que lo tuvo) cualquier interés, no merece la pena pagar por este libro, bajo mi opinión.",1
15,"La protagonista te cae mal desde la primera página,los personajes en general son insoportables por lo llenos de clichés que están, el libro no tiene argumento alguno, es predecible,.... El peor libro que me he leído en mucho tiempo.",1
15,"Lo he leido porque tenía interés en saber el por qué de su exito. Después de haberlo terminado, me ha quedado claro el poder del marketing.Sin éste, no se explica como han podido publicar una novela tan mal escrita, con unos diálogos tan pobres y un argumento que intenta ser transgresor y se queda en ensoñaciones de adolescente bastante pacata. Los personajes son de cartón-piedra y las situaciones parecen ""El día de la Marmota"": son calcadas unas de otras.",1
15,"Es el libro peor escrito que he leído jamás. No entiendo cómo la editorial ha consentido su publicación. Aparte de la temática, que gustará más o menos, es imprescindible un mínimo de calidad, no sólo literaria, para publicar un libro. Este está repleto de diálogos de relleno, lugares comunes y sintaxis parvularia. No pierdan su tiempo ni su dinero con él.",1
15,"Excelente pq el libro me gusto mucho..Se lo aconsejo a todo el mundo , si le gusta los libros eroticos.Para ser un libro a traves de ebook podia ser mas barato",5
16,"Parece mentira que pueda tener éxito semejante bodrio.Yo piqué a pesar de las críticas vistas y tras leerlo a salto de mata,resulta que después de ver que se sonroja en cada página,que pone los ojos en blanco cada dos,que se muerde el labio cada tres y que menciona la diosa que lleva dentro cada cuatro,me he quedado sin saber cuáles son las cincuenta sombras.",1
16,"No he podido terminar de leerlo, y mira que lo he intentado, No entiendo su exito, Como novela erótica es flojita y como otra cosa un completo aburrimiento.",1
16,"Es totalmente adictiva!! No podía parar de leerla, te engancha desde el principio.  Sobre todo los dos primeros libros. La recomiendo",5
16,Es una novela adictiva que logra transmitir todas las angustias y emociones de los personajes. La recomiendo sin duda alguna.,5
